name,allegiance,government,primaryEconomy,secondaryEconomy,security,population,controllingFaction.name
We Jenuteki,Independent,Democracy,Terraforming,Refinery,Low,184577,Explorer on Tour
Palliep,Empire,Dictatorship,Extraction,Colony,Low,14888,Steel Brotherhood
Iconti Shi,Empire,Patronage,Industrial,Extraction,Medium,12068854,The Reliquary
Parorans,Independent,Democracy,Colony,Terraforming,Medium,400252,LOST BOYS
Bhaguting,Independent,Communism,Extraction,None,Low,3584,Adamantine Union
Camat,Empire,Feudal,Colony,Extraction,Medium,166919,Decimus Imperium Lex
Aurvashi,Empire,Corporate,Terraforming,Refinery,Medium,297249,Nexus Heavy Industries
Tripurus,Independent,Communism,Terraforming,Refinery,Medium,242206,Workers of Quillaente Union Party
DzacaliTem,Empire,Patronage,Industrial,Military,Medium,2704396,United Imperial Loyalists
Chacocels,Independent,Cooperative,Terraforming,Agriculture,Medium,1244766433,Misfit's of Science and Research
Njamissing,Empire,Patronage,Agriculture,Refinery,Medium,558048109,6th Interstellar Corps
Rajito,Independent,Dictatorship,Agriculture,Extraction,Medium,9757465074,Union Cosmos
Falendal,Empire,Corporate,Industrial,Extraction,Medium,13257429,Jukundji Solutions
Amahibuhcha,Empire,Corporate,Refinery,Extraction,Medium,237710,Amahibuhcha Crimson Netcoms Ind
Nukups,Empire,Patronage,Industrial,Refinery,Low,3388662,United Imperial Loyalists
Chick Bara,Empire,Patronage,High Tech,Refinery,High,38310008,Chick Bara Empire Party
Ocairi,Empire,Patronage,Agriculture,Industrial,High,726409307,Ocairi Empire Group
Hun Nongga,Independent,Cooperative,Industrial,Military,Medium,2300783,Celestial Light Brigade
Polanque,Independent,Confederacy,Agriculture,Extraction,Low,7373,Brazilian League of Pilots
Canari,Empire,Patronage,Industrial,Extraction,Medium,28090580,The 9th Legion
Copityar,Empire,Patronage,Refinery,Extraction,Medium,102657,Korsarios Espaciales
Ausantuatel,Empire,Feudal,Extraction,Military,Medium,240740,Caballeros del Nuevo Orden
Motilone,Independent,Democracy,Terraforming,High Tech,Low,202809,The Old Council
Benu,Independent,Anarchy,Terraforming,Refinery,Anarchy,172165,Explorers of the Anarchy
Col 285 Sector EG-N c7-12,Federation,Confederacy,Refinery,Extraction,Low,758353,Xebon Syndicate
Bhutatani,Independent,Corporate,Refinery,High Tech,Low,176798,Bhutatani Travel Commodities
Mu Koji,Empire,Patronage,Agriculture,Refinery,High,1107574149,Imperial Enforcement Division
Arasee,Independent,Feudal,Colony,Refinery,Medium,81363,Ryders of the Void
HIP 45957,Independent,Cooperative,Agriculture,Refinery,High,1289707815,Singular Prospective Exports Destitute
Gurughna,Independent,Democracy,Refinery,Tourism,Medium,118375,Gurughna Liberals
Anandilla,Alliance,Cooperative,Refinery,Extraction,Medium,33853,Alliance Rapid-reaction Corps
Promba,Independent,Democracy,Industrial,Colony,Low,2438444,Democrats of Promba
Abormotwa,Independent,Dictatorship,Agriculture,Terraforming,Medium,385133850,Dominion Emeritus
Col 285 Sector GH-K c9-12,Independent,Democracy,Refinery,Extraction,Low,408796,EDC Commonwealth
Hydrae Sector GW-W c1-12,Independent,Democracy,Refinery,Extraction,Low,84656,EDC Commonwealth
Col 285 Sector OT-G c11-12,Independent,Patronage,Military,Extraction,Low,711374,Kwakiutl Independent League
Njemar,Independent,Corporate,Extraction,High Tech,Low,9620,Broadcast Cobra
Wulgu,Independent,Anarchy,High Tech,Industrial,Anarchy,43509,Wulgu Society
Maiadiwobog,Independent,Cooperative,Refinery,Terraforming,Medium,225752,Misfit's of Science and Research
Bibato,Empire,Patronage,Military,Extraction,High,281379,White & Red Trade Federation
Hap,Independent,Corporate,Terraforming,Military,Medium,301295,MegaBayt Inc.
Caeriango,Independent,Communism,Extraction,Industrial,Medium,3455682,Adamantine Union
Njambian De,Empire,Patronage,Industrial,Military,Low,4061986,HIP 24320 Citizens' Forum
Huai Hait,Empire,Patronage,Extraction,Refinery,Medium,219569,Goeng Gong Emperor's Grace
Lwalkinus,Independent,Democracy,Extraction,None,Low,3530,The Gathering
Vogulu,Empire,Patronage,Industrial,Extraction,Medium,18284008,Vogulu Empire Assembly
Koshans,Empire,Patronage,Refinery,None,Medium,69070,Arakapajo Empire Party
Okonoharyi,Empire,Patronage,Extraction,High Tech,Low,44631,Chati Imperial Society
Tamici,Independent,Democracy,Extraction,Refinery,Medium,85731,The Gathering
Elbiones,Empire,Patronage,Extraction,High Tech,Low,17708,HIP 34961 Empire League
Sekhereke,Federation,Corporate,Terraforming,Industrial,Medium,26367544,Nagnutli Gold Federal Partners
Jula,Empire,Patronage,Terraforming,Industrial,Medium,5428204,Ngurii Empire Party
Anyayahui,Empire,Patronage,Tourism,Agriculture,Low,320599,Ngalites Citizens of Tradition
Shivarokkju,Independent,Corporate,Extraction,High Tech,Low,108073,Mammon Corporation
Cocopa,Independent,Corporate,Industrial,Extraction,Medium,9465903,Veles Company
Padhbh,Independent,Corporate,Refinery,Extraction,Low,55012,Pisat Electronics & Co
Kamur,Independent,Corporate,Colony,Extraction,Low,38505,Palluvumbo Creative Incorporated
Vito,Independent,Feudal,Refinery,Extraction,Low,49759,Vito Dynasty
Antliae Sector BQ-Y c12,Independent,Corporate,Refinery,Military,Low,331710,Hembe Holdings
Antliae Sector JC-V c2-12,Independent,Corporate,Military,Colony,Low,379781,Sanuma Gold Dynamic Industries
Lumbawetiac,Independent,Confederacy,Extraction,Military,Low,37049,Stars of Duval
Yen Tacanik,Independent,Theocracy,Extraction,Terraforming,Medium,266639,Sacra Oculus
Walgalu,Empire,Patronage,Agriculture,Extraction,Low,26222,HIP 10941 Guardians of Tradition
Nerrete,Independent,Confederacy,High Tech,Extraction,Low,19440,Stars of Duval
Renpa,Independent,Theocracy,Extraction,Agriculture,Medium,11246,Sacra Oculus
Shangbe,Empire,Dictatorship,Extraction,Agriculture,Medium,24593,Hillaunges First
Chnouphis,Independent,Confederacy,Industrial,Extraction,Medium,7795367,Formidine Greybeard Guild
Arverda,Independent,Theocracy,Terraforming,Extraction,Medium,20262527,Circle of TabEwon
Hodurngana,Independent,Corporate,Extraction,High Tech,Low,55914,Hodurngana Gold Universal Int
Cofalyaqa,Independent,Democracy,Extraction,None,Low,1484,Fatal Shadows
Jadlili,Independent,Dictatorship,Colony,Military,Medium,139340,Traditional Jadlili Justice Party
Col 285 Sector XK-O d6-99,Independent,Democracy,Extraction,Refinery,Low,653,Fatal Shadows
Ongkala,Independent,Corporate,High Tech,Refinery,Medium,6312143,Elite Secret Service
Chamo,Independent,Dictatorship,Agriculture,Industrial,Medium,423402861,HIP 7076 Nationalists
Huave,Empire,Patronage,Terraforming,Refinery,Medium,265604,Huave Empire League
Kazemlya,Independent,Cooperative,Extraction,Industrial,Medium,149778,The Winged Hussars
Nekhbet,Independent,Corporate,Extraction,Refinery,Medium,257926,SIRA Incorporated
Sesuyar,Independent,Feudal,Tourism,None,Low,459648,Aristocrats of LTT 8679
Shoribelu,Independent,Cooperative,Extraction,Industrial,Medium,4251896,Independence Separatist Fleet
Ho Hsi,Independent,Democracy,High Tech,Refinery,Medium,24815121,The Altruists
Chih Zhi,Independent,Corporate,Agriculture,Military,Medium,919666134,Oblivion Fleet
Albisiyatae,Empire,Patronage,Extraction,Colony,Medium,166528,Jormungand Empire Group
Bolowari,Empire,Patronage,Colony,Refinery,Medium,549058,Reret Emperor's Grace
Bodharail,Independent,Democracy,Industrial,Extraction,Medium,33609514,Society Of Greybeards
Morinbath,Federation,Corporate,Refinery,Military,Medium,94434,Silver United Systems
Peckolong,Independent,Cooperative,Refinery,High Tech,Medium,184228,The Terminus Syndicate
Siaronia,Empire,Patronage,Colony,Extraction,Low,15885,Kurunmatay Imperial Society
Kokonda,Independent,Cooperative,Extraction,Colony,Medium,198828,The Free Milky Way Cooperative
Akondaluk,Empire,Patronage,Colony,Refinery,Medium,373171,HIP 35211 Empire Party
Usipek,Empire,Patronage,Terraforming,Agriculture,Medium,215210,Usipek Patron's Principles
Col 285 Sector OS-T d3-99,Independent,Dictatorship,Extraction,Industrial,Low,33201,New Galis Focus
Deiva,Independent,Corporate,Industrial,Extraction,Medium,23004549,Delta Squadron
Wiradjuri,Independent,Theocracy,Industrial,Extraction,Low,11290938,Brotherhood of Batzin
Pegasi Sector BQ-Y d100,Independent,Communism,Extraction,None,Low,40,Guardians of Harmony
Aje,Federation,Democracy,Industrial,Extraction,Medium,4572091,Social Aje Labour
Gamamonga,Independent,Cooperative,Extraction,Agriculture,Low,5196,Amicale des Compagnons de l'Espace
Col 285 Sector PY-R d4-100,Alliance,Corporate,Refinery,Extraction,Medium,29981383,Sap Core Legion
Frey,Independent,Dictatorship,Industrial,Extraction,High,14819256,Wolves of Jonai
Andracottii,Independent,Corporate,Extraction,Refinery,Medium,288405,Radius Group Inc
Cuchua,Empire,Patronage,Agriculture,Industrial,High,1711615225,Loren's Legion
LHS 1617,Federation,Corporate,Agriculture,Refinery,High,3315567636,LHS 1617 Exchange
Odudungu,Independent,Cooperative,Agriculture,Extraction,Low,101674,Independence Separatist Fleet
Ndozins,Independent,Democracy,Extraction,None,Low,2821,Flotta Stellare
Orishvati,Alliance,Corporate,Industrial,Colony,Medium,2537999,Capsule Corp Interstellar
Scorpii Sector CL-Y d100,Independent,Communism,Military,Industrial,Low,467197,Communist Interstellar Union
Laukates,Independent,Corporate,Refinery,Industrial,Medium,1827209,Delta Squadron
Ongkama,Empire,Patronage,Military,Terraforming,Medium,360662,Ongkama Empire Group
Reret,Empire,Patronage,Industrial,Extraction,Medium,12780428,Nova Paresa
Diabingo,Independent,Feudal,Agriculture,Extraction,Low,62131,The Kuun-Lan
Jurokkju,Independent,Democracy,Extraction,Industrial,Medium,8853182,Society Of Greybeards
Vayurathi,Independent,Cooperative,Extraction,Refinery,Medium,182467,Celestial Light Brigade
Utsegeri,Independent,Anarchy,Refinery,Extraction,Anarchy,83417,Utsegeri Blue Ring
Sother,Federation,Corporate,Industrial,Extraction,Medium,5676003,Sirius Special Forces
Chukchitan,Independent,Democracy,Industrial,Refinery,High,12735249,Enigma Dyson Syndicate
Ethet,Independent,Corporate,Refinery,None,Low,22735,Beyond Infinity Corporation
Belaako,Independent,Cooperative,Industrial,Refinery,High,9949311,Fortunes Corsairs
Maghri,Independent,Corporate,Industrial,None,Medium,2794081,MEGALOOT Interstellar Corp.
Waras,Empire,Patronage,Terraforming,Military,Medium,192051,Empire's Twilight
Oloku,Independent,Communism,Military,Terraforming,Medium,313544,Oloku People's Party
Mbegua,Empire,Patronage,Extraction,Industrial,High,3339064,HIP 1937 Empire League
Banbudo,Independent,Feudal,Extraction,Refinery,Medium,109691,HR 1915 Monarchy
Apisni,Independent,Democracy,Agriculture,Extraction,Medium,571170443,Canis Lupus Majoris
Ngolona,Empire,Patronage,Terraforming,Industrial,Medium,2983872,Cartel of Yaso Kondi
Chingaa,Federation,Corporate,Industrial,Extraction,Medium,6197823,Turkish Federal Forces
Bulkuylkana,Independent,Cooperative,Industrial,Extraction,Medium,14422308,Solaris Xeno-Psychology Group
Batzin,Independent,Theocracy,Industrial,Extraction,High,15043632,Brotherhood of Batzin
Pegasi Sector CQ-Y d101,Independent,Corporate,Refinery,Agriculture,Medium,205956692,Katui Silver Allied Partners
Biaris,Independent,Confederacy,Military,Extraction,Medium,35355,Tethys Independent Crew
Asing Linga,Federation,Corporate,Terraforming,Extraction,Medium,127219625,Bedroc Security Corp.
Matlehi,Independent,Communism,Agriculture,Industrial,Medium,1663889883,Union Party of Bakonirtari
Wakot,Alliance,Corporate,Terraforming,Colony,Medium,1251020557,Sap Core Legion
Makau,Independent,Cooperative,Industrial,Extraction,Medium,21125240,The Winged Hussars
Pacalite,Independent,Feudal,Industrial,Refinery,High,26423612,Nobles of NLTT 51200
Kwaraseti,Independent,Corporate,Refinery,Extraction,Low,124240,Kwaraseti Public Organisation
LHS 304,Independent,Democracy,Military,Refinery,Medium,163004,Alchemy Den
Col 285 Sector WP-O d6-101,Independent,Communism,Extraction,Refinery,Low,5851,Worker's Party of HIP 82835
Caspataya,Empire,Patronage,Extraction,None,Low,6480,HIP 8894 Citizens of Tradition
Tabaldak,Independent,Cooperative,High Tech,Refinery,High,64737759,Celestial Light Brigade
Col 285 Sector DB-O d6-101,Independent,Corporate,Extraction,Refinery,Low,5864,HIP 100967 Dynamic Services
Caspian,Independent,Democracy,Refinery,Extraction,Low,41436,Simbad Regime
Ngin,Federation,Corporate,Extraction,Agriculture,Medium,66741,Brazilian Trading Company
Turnat,Independent,Democracy,Industrial,Refinery,High,16064410,Enigma Dyson Syndicate
Cotigagaial,Alliance,Corporate,Terraforming,Extraction,Medium,1534833365,BR CORPORATION
Col 285 Sector TJ-Q d5-101,Independent,Democracy,Refinery,Industrial,Medium,99997,Explorer on Tour
Khowei,Empire,Patronage,Extraction,Industrial,Medium,3321811,Empire's Twilight
Thontar,Independent,Confederacy,High Tech,Extraction,Low,9285,Stars of Duval
Kharu,Federation,Corporate,Military,Extraction,Medium,41500,Steel Wolves Aegis Tactical
Candi,Independent,Feudal,Extraction,Industrial,Low,76264,Barons of Candi
Jarakati,Empire,Corporate,Colony,Refinery,Medium,15638,ExDronPi Enterprise
Gango,Independent,Cooperative,Military,Refinery,Low,171661,Solaris Xeno-Psychology Group
Vaizdiko,Federation,Democracy,Refinery,High Tech,Medium,181849,Future of Vaizdiko
Xib Cakurbi,Independent,Cooperative,Extraction,Agriculture,Low,29789,Concern Matrosskaya Tishina
Deche,Independent,Confederacy,Military,Terraforming,Low,144961,Formidine Greybeard Guild
Wiyotset,Independent,Communism,Extraction,None,Low,26132,Guardians of Harmony
Olodumanpa,Independent,Corporate,Terraforming,Colony,Low,144001,Olodumanpa Company
Jangman,Federation,Democracy,Refinery,Extraction,Low,48354,Stellanebula Project
Atins,Independent,Dictatorship,Industrial,Refinery,High,7332934,Phoenix Down
Pue Zhua,Federation,Democracy,Extraction,None,Low,1845,Progressive Party of HIP 8653
Addovichs,Independent,Dictatorship,Refinery,None,Medium,39715,Official Xi Wangda Focus
Gaarnae,Empire,Feudal,Extraction,Refinery,Medium,127112,Gaarnae Dominion
60 Tauri,Independent,Cooperative,Industrial,Extraction,High,28281423,The Argus Initiative
Neits,Empire,Corporate,Refinery,Extraction,Medium,460105,East India Company
Faroahy,Empire,Patronage,Refinery,Extraction,Low,171629,HIP 110483 Empire Consulate
Cerritics,Independent,Corporate,High Tech,Refinery,Medium,6264580,Children of the Sun
Bonitou,Federation,Democracy,Agriculture,Military,High,6583054926,Blood Brothers from Alrai
LHS 3163,Independent,Democracy,Military,High Tech,Medium,62427,Pixel Bandits Security Force
Bulungu,Empire,Corporate,Refinery,Extraction,Medium,156167,Artemis Corporation
Tai Nang Mu,Independent,Cooperative,Extraction,Colony,Medium,205386,Achan One
Gitxsanluga,Independent,Democracy,Terraforming,Industrial,Medium,970805583,Simbad Regime
Xiripa,Alliance,Democracy,Industrial,Refinery,High,42922479,Flat Galaxy Society
Anagototo,Independent,Corporate,Agriculture,Industrial,High,482874036,Brazilian Operating Group
Sukuruaco,Federation,Democracy,Refinery,Extraction,Medium,859033,17 Crateris Republic Party
Miriwung Mu,Federation,Democracy,Refinery,Extraction,Medium,67801,Dark Enterprise
Haeduwong,Independent,Corporate,Refinery,Industrial,Medium,3530021,Delta Squadron
Chinovane,Empire,Corporate,Extraction,None,Low,2133,Chinovane Gold Fortune Ltd
Krinbea,Empire,Patronage,Industrial,Extraction,High,74574315,Krinbea Imperial Society
Kano,Independent,Democracy,Extraction,Refinery,High,4449408,The Gathering
Desurinbin,Independent,Corporate,Industrial,Extraction,Medium,22608997,Congressus Tenebris
Caerape,Independent,Corporate,Industrial,Extraction,High,11324252,Space Phantom Corporation
Airseklis,Independent,Theocracy,Terraforming,Military,Low,227117,Sacra Oculus
Otohime,Empire,Patronage,Extraction,Colony,Medium,159600,Otohime Imperial Society
Kakmbutan,Independent,Confederacy,Industrial,Extraction,Low,18035328,Mortis Incorporated
Deive,Independent,Democracy,High Tech,Refinery,Low,6413168,Channel Zero
Kandha,Federation,Confederacy,Extraction,Colony,Low,42978,Alliance of Yotani
Piegua,Independent,Dictatorship,Agriculture,Extraction,Low,162998,Phoenix Down
HIP 20440,Independent,Democracy,Industrial,Extraction,Medium,9847588,The Undaunted Pilots of HIP 20440
LP 355-65,Independent,Corporate,Industrial,Extraction,Medium,5208437,SIRA Incorporated
Ugrashtrim,Independent,Dictatorship,Agriculture,Industrial,High,11531079196,Black Birds Consilium
Morong,Independent,Confederacy,Military,Extraction,Medium,286620,Privateer's Alliance
Gertrud,Federation,Democracy,Industrial,Refinery,High,97503291,The Fatherhood
LHS 6305,Independent,Corporate,Industrial,Refinery,High,17513260,Oblivion Fleet
Tsimaskara,Alliance,Corporate,Refinery,None,Low,29192,Capsule Corp Interstellar
Warra,Federation,Corporate,Extraction,Agriculture,Low,6782,Starlance Alpha
Atrongo,Independent,Corporate,Extraction,Refinery,Medium,150090,Galactic Rangers
Aoniu,Empire,Patronage,Extraction,Refinery,Medium,197989,Peraesii Empire Consulate
Pictavul,Empire,Patronage,Agriculture,Tourism,Medium,14077027440,Likedeeler of Michel
Bwenapok,Empire,Corporate,Military,Extraction,Low,53468,Bwenapok Organisation
Niu Bese,Empire,Patronage,Extraction,Agriculture,Low,15953,Booty Bay Butchers
Sugrivik,Independent,Dictatorship,Agriculture,Tourism,High,7666329179,EG Union
Konohi,Independent,Cooperative,Military,Refinery,Low,86175,Colonia Travel Agency
Bacagua,Independent,Feudal,Extraction,Military,Low,227265,Monarchy of Bacagua
Lekagh,Federation,Democracy,Refinery,Extraction,Medium,277274,Revolutionary Party of HIP 40977
Dalam,Federation,Corporate,Military,Refinery,Medium,185159,Ice Storm Squadron
Liburodo,Independent,Patronage,Refinery,Extraction,Medium,124131,Arbor Caelum Internal Defense
Osissi,Independent,Democracy,Industrial,Refinery,High,14939311,Explorer on Tour
Othi,Independent,Corporate,Refinery,Industrial,Medium,74752,Delta Squadron
Katas,Empire,Patronage,Military,Extraction,Medium,226281,Empire's Twilight
Kamsety,Empire,Patronage,Terraforming,Extraction,Medium,429214330,Kamsety Patron's Principles
Karbacoc,Federation,Corporate,Terraforming,Tourism,Medium,128435,Ochosag Federal Company
Hranbi,Independent,Dictatorship,Military,Refinery,Low,57847,Union Cosmos
Choki,Independent,Democracy,Extraction,Tourism,Medium,113296,Portuguese Royal Navy
Antliae Sector IM-W d1-103,Independent,Corporate,Refinery,Military,Medium,636647,Belgitan Crimson United Dev
Chul,Federation,Democracy,Tourism,Colony,Low,460088,Dark Enterprise
Txamsa,Independent,Theocracy,Colony,Extraction,Medium,140307,Sacra Oculus
Col 285 Sector OY-R d4-104,Independent,Anarchy,Colony,Refinery,Anarchy,607,Odin's Council
Kudiyu,Federation,Democracy,Military,Refinery,Low,121059,Evangeline's Elite Expeditionary Force
Lopocareni,Federation,Corporate,Extraction,Agriculture,Low,27877,TerraLight Industries
Daibamba,Independent,Democracy,Industrial,None,Medium,3665668,Interplanetary Explorations
Ch'uanga,Federation,Corporate,Industrial,Extraction,Medium,14054899,Ch'uanga Jet Major Limited
Col 285 Sector TE-Q d5-104,Independent,Communism,Refinery,Extraction,Medium,642815,Social Acurus Citizen Party
Kharyi,Independent,Corporate,Terraforming,Extraction,Medium,153344,Night Wolves Corporation
LHS 1442,Independent,Cooperative,Military,Agriculture,Low,113205,Boop Brigade
Pichi Wang,Independent,Communism,Extraction,Industrial,Medium,2842770,Workers of Ts'ai Shai Left Party
Asgaa,Federation,Democracy,High Tech,Refinery,Medium,12567572,Federal Expeditionary Armed Response
Svitra,Independent,Communism,Military,Agriculture,Medium,117996,Union Party of Bungk
Susan,Independent,Cooperative,Military,Colony,Low,4742,Social Eleu Progressive Party
Giabaing,Independent,Dictatorship,Industrial,Extraction,Medium,31256965,The Independent Light Wheel
Lu Pah,Empire,Patronage,Extraction,None,Low,2661,Ngun Patron's Principles
Wodimui,Empire,Patronage,Extraction,Refinery,Low,106304,Imperial Self Defense Force
Ernueken,Empire,Patronage,Refinery,Military,Medium,189273,Kuwemargl Patrons of Law
Nu Gong,Independent,Communism,Agriculture,Extraction,Low,26540,Egovi Union
Hyades Sector EB-X d1-104,Independent,Democracy,Refinery,Extraction,Low,800726,THE AZGHARIE
Kunjak,Alliance,Democracy,Refinery,Agriculture,Medium,232480,Flat Galaxy Society
Mutj,Independent,Dictatorship,Agriculture,Terraforming,High,5860211973,EG Union
Klikis,Independent,Corporate,Industrial,Extraction,Medium,8277912,Last Constellation
Bhalan,Empire,Patronage,Colony,Military,Medium,123870,Le Legion de EX99
Dakshmandi,Independent,Feudal,Extraction,Industrial,High,4917879,White Scar Contingency
Gelo Kop,Independent,Cooperative,Industrial,Extraction,Medium,28198380,Co-operative of Njanheim
Belinjaba,Independent,Cooperative,Industrial,Agriculture,Low,45883,Knights of the Black
Yan Zangata,Empire,Patronage,Terraforming,Extraction,Medium,215325,HIP 30158 Patrons of Law
Ajani,Empire,Dictatorship,Extraction,Industrial,Medium,101141,Bureau of Parasvari Freedom Party
Jambe,Independent,Democracy,Extraction,None,Low,5219,The Gathering
Col 285 Sector OS-T d3-104,Independent,Communism,Industrial,None,Low,72656,Labour Union of Latobrigi
Li Chotep,Independent,Democracy,Refinery,Agriculture,Medium,134831,Pilots of the Catalan Republic
Antliae Sector IM-W d1-104,Independent,Corporate,Refinery,Colony,Medium,1278938,Astra Praeterita
Col 285 Sector UJ-Q d5-104,Independent,Corporate,Colony,Refinery,Low,5132,Pilots Trade Network
Eagle Sector IR-W d1-105,Independent,Cooperative,Extraction,Military,High,44773,Colonia Council
Goplatrugba,Independent,Cooperative,Refinery,Extraction,Low,83888,Canonn
Mechelkanu,Independent,Anarchy,Extraction,Agriculture,Anarchy,14797,Odin's Council
Col 285 Sector XU-P d5-105,Independent,Feudal,Military,Extraction,Low,160589,Lords of Mirdhr
Manissyet,Federation,Democracy,Agriculture,Tourism,Medium,3118127226,Tethys Independent Crew
Thieh,Federation,Corporate,Industrial,Extraction,Medium,4656991,TerraLight Industries
Asgariges,Independent,Feudal,Agriculture,Colony,Medium,137775,Marquis du Ma'a
Dhakhan,Federation,Democracy,Refinery,Extraction,Medium,232671,Kunab Future
Hach,Independent,Democracy,Refinery,Extraction,Medium,431877,The Forgotten
Kekenk,Empire,Dictatorship,Terraforming,Refinery,Medium,27490643,HIP 116125 First
Arawere,Independent,Confederacy,Industrial,Extraction,Low,11613224,Barbera Crew
Zosia,Independent,Theocracy,High Tech,Refinery,Medium,18205982,Order of Enblackenment
V749 Herculis,Independent,Democracy,High Tech,Refinery,Medium,9319524,Pixel Bandits Security Force
Bandjigali,Independent,Corporate,Agriculture,Industrial,High,7034663719,MetaVem Brotherhood
Zlotrimi,Federation,Corporate,Refinery,Extraction,Medium,930301705,Manite Inc
Dhathaut,Independent,Corporate,Agriculture,Refinery,High,2558347200,Able Company Ltd
Sibil,Empire,Patronage,Extraction,Refinery,Medium,181492,The White Templars
He Pola,Independent,Corporate,Terraforming,Agriculture,Medium,7562550,Retrotech Collective Agency
Tiriku,Empire,Feudal,Colony,Terraforming,Low,163221,Kratakak Noblement
Hyldekagati,Independent,Dictatorship,Agriculture,Military,Medium,11549176375,EG Union
Tobala,Independent,Democracy,Agriculture,Terraforming,Medium,4779808034,Casual Crew
Thra Atius,Independent,Feudal,Extraction,Colony,Low,8137,Earls of Ekondalie
Banya,Federation,Corporate,Extraction,None,Low,3539,Kaline Advanced Industry
Pemoeri,Federation,Corporate,Refinery,Extraction,Medium,284667,Federal Reclamation Co
Marubal,Independent,Democracy,Industrial,Refinery,High,41279206,Fathers of Nontime
Silurion,Independent,Cooperative,Extraction,Colony,Medium,45904,Fortunes Corsairs
Pereng Asli,Empire,Corporate,Military,Extraction,Medium,149900,Pereng Asli General Ltd
Dasar,Independent,Cooperative,Colony,Extraction,Medium,173628,The Guard of Outer Imperial Colonies
Shebkauluwa,Independent,Corporate,Terraforming,Extraction,Medium,549682014,Heij-Corp Galactic
Yarrite,Empire,Feudal,High Tech,Refinery,High,42513194,Earls of Adan
Windjet,Independent,Democracy,Extraction,Agriculture,Low,7167,The Gathering
Marra,Independent,Communism,Terraforming,Industrial,Medium,3093885,Left Party of Marra
Wikira,Independent,Corporate,Military,Refinery,Medium,105709,DaVinci Corp.
Pegasi Sector CQ-Y d106,Independent,Communism,Refinery,Extraction,Low,625353,Guardians of Harmony
Scythipik,Independent,Confederacy,Colony,Refinery,Low,29992,Tethys Independent Crew
Cerari,Independent,Feudal,Military,Extraction,Low,41627,The Dukes of Mikunn
Marsinatani,Independent,Confederacy,Extraction,Refinery,Medium,105040,The L.O.S.P.
Lombiku,Independent,Confederacy,High Tech,Military,Medium,221943,Formidine Greybeard Guild
Nefes,Independent,Corporate,Terraforming,Colony,Low,160182,Night Wolves Corporation
Hmaridge,Independent,Cooperative,Industrial,None,Low,3923428,The Emporium
Halbangaay,Independent,Confederacy,Agriculture,Industrial,Medium,3994189121,Rebeldes Espaciales
Majhwar,Independent,Feudal,Agriculture,Industrial,High,1135375169,The Dukes of Mikunn
Remines,Federation,Democracy,Agriculture,Industrial,High,5791543708,The Fatherhood
NLTT 44219,Federation,Democracy,Military,High Tech,Low,182096,NLTT 44219 Republic Party
Syntheng,Independent,Corporate,Terraforming,Refinery,Medium,9328548,Aces Wild Aerospace Corporation
Atese,Empire,Dictatorship,Industrial,Extraction,High,17813647,Natural Atese Front
Kanandos,Empire,Patronage,Refinery,Colony,Low,99814,The 9th Legion
Hyades Sector EB-X d1-106,Alliance,Democracy,Colony,Military,Low,526435,Flat Galaxy Society
Uoluskas,Independent,Corporate,Industrial,Refinery,High,18578114,Omega Merchant Command
Vinab,Independent,Communism,Extraction,Refinery,Low,115731,Communist Interstellar Union
Jok Isuani,Independent,Democracy,Industrial,Extraction,Medium,7486331,ACE Exploration
Phra Narai,Empire,Patronage,Refinery,Terraforming,Medium,207916,The 9th Legion
Col 285 Sector KM-V d2-106,Independent,Corporate,Colony,Extraction,Low,7180,Congressus Tenebris
Brigh,Federation,Confederacy,Extraction,Colony,Low,77676,New Chonsu Alliance
Col 285 Sector WE-Q d5-106,Independent,Corporate,Refinery,Extraction,Medium,255177,Belgitan Crimson United Dev
Volowahku,Independent,Corporate,Extraction,Refinery,Low,51443,Pilots Trade Network
Synuefe BT-F d12-106,Independent,Theocracy,Extraction,None,Low,1240,Sacra Oculus
Sleipnera,Independent,Anarchy,Refinery,Extraction,Anarchy,144749,Odin's Council
Col 285 Sector DX-J c9-13,Independent,Corporate,Military,Extraction,Low,8567,Galactic Core Corporation
Col 285 Sector HD-I c10-13,Independent,Confederacy,Extraction,Colony,Low,2827,Formidine Greybeard Guild
Rabal,Independent,Democracy,Industrial,Military,Low,3896269,Channel Zero
Manhotti,Independent,Communism,Extraction,Military,Medium,71800,Guardians of Harmony
Hoorajo,Independent,Communism,Refinery,Extraction,Low,35563,Guardians of Harmony
Apteti,Independent,Dictatorship,Terraforming,Industrial,Low,3286522,Allied Apteti Focus
Taiowahungu,Federation,Democracy,Industrial,Colony,Low,2385273,Guardianship Commander Alliance
Korwali,Independent,Corporate,Extraction,Agriculture,Low,11732,DaVinci Corp.
BD+23 4334,Independent,Confederacy,Extraction,Military,Low,42493,Nukunda Coalition
Aladshes,Independent,Corporate,Military,Industrial,Low,44238,Aladshes & Co
Poqomchi,Independent,Dictatorship,Terraforming,Colony,Low,170975,Poqomchi Defence Party
Tzotz,Independent,Democracy,Extraction,None,Low,11913,Muro Independents
Nititja,Independent,Communism,Extraction,High Tech,Low,90697,Unionists of Brynhilo
Pictavit,Independent,Confederacy,Agriculture,Extraction,Low,79766,The L.O.S.P.
