name,bodies.name,bodies.subType,bodies.spectralClass
5 Puppis,5 Puppis A,F (White) Star,F5
Belanit,Belanit,G (White-Yellow) Star,G7
Col 285 Sector XP-O d6-67,Col 285 Sector XP-O d6-67,F (White) Star,F6
Jicasses,Jicasses,F (White) Star,F2
Greidu,Greidu,F (White) Star,F7
Tsakapai,Tsakapai,F (White) Star,F8
HIP 18402,HIP 18402 A,F (White) Star,F7
CD-72 190,CD-72 190,G (White-Yellow) Star,G2
HIP 116066,HIP 116066 A,F (White) Star,F8
HIP 104349,HIP 104349,F (White) Star,F8
10 G. Canis Majoris,10 G. Canis Majoris,F (White) Star,F8
Maheim,Maheim,G (White-Yellow) Star,G9
HIP 72380,HIP 72380 A,G (White-Yellow) Star,G3
Bahinook,Bahinook A,F (White) Star,F8
Eta Antliae,Eta Antliae,F (White) Star,F1
HIP 58815,HIP 58815,G (White-Yellow) Star,G8
HIP 53879,HIP 53879 A,G (White-Yellow) Star,G5
Hai Si,Hai Si,G (White-Yellow) Star,G9
Atora,Atora A,K (Yellow-Orange) Star,K0
12 Andromedae,12 Andromedae A,F (White) Star,F5
Xuangkomi,Xuangkomi A,K (Yellow-Orange) Star,K0
16 Cephei,16 Cephei,F (White) Star,F5
Huile,Huile A,G (White-Yellow) Star,G4
Latucano,Latucano,G (White-Yellow) Star,G8
Pomesci,Pomesci A,K (Yellow-Orange) Star,K7
23 Delta Piscis Austrini,23 Delta Piscis Austrini,G (White-Yellow) Star,G8
Gliese 9073,Gliese 9073 A,G (White-Yellow) Star,G5
Pi Piscis Austrini,Pi Piscis Austrini A,F (White) Star,F1
Xi-2 Capricorni,Xi-2 Capricorni,F (White) Star,F7
BD+41 1865,BD+41 1865,F (White) Star,F8
Milscothach,Milscothach,G (White-Yellow) Star,G6
BD-11 4932,BD-11 4932,F (White) Star,F9
Dubhe,Dubhe,G (White-Yellow) Star,G8
Eluscap,Eluscap,G (White-Yellow) Star,G2
Wu Guinagi,Wu Guinagi,G (White-Yellow) Star,G7
Pienapa,Pienapa,G (White-Yellow) Star,G0
Comaucate,Comaucate,K (Yellow-Orange) Star,K3
Mezanik,Mezanik,G (White-Yellow) Star,G7
Mu Horologii,Mu Horologii A,F (White) Star,F0
HR 8352,HR 8352 A,F (White) Star,F0
HIP 105577,HIP 105577,G (White-Yellow) Star,G3
No Chang,No Chang,T Tauri Star,TTS9
Wailaroju,Wailaroju A,G (White-Yellow) Star,G4
Triton,Triton,G (White-Yellow) Star,G9
9 Puppis,9 Puppis,G (White-Yellow) Star,G0
Eta Crucis,Eta Crucis A,F (White) Star,F2
M Hydrae,Gl 561.1 B,F (White) Star,F9
BD-19 3629A,BD-19 3629A,F (White) Star,F8
Nyanmil,Nyanmil,F (White) Star,F9
Wirao,Wirao A,G (White-Yellow) Star,G4
Motilekui,Motilekui A,K (Yellow-Orange) Star,K3
Vasuki,Vasuki A,G (White-Yellow) Star,G2
HIP 18714,HIP 18714,G (White-Yellow) Star,G3
Kalaik,Kalaik,M (Red dwarf) Star,M0
HIP 30001,HIP 30001 A,G (White-Yellow) Star,G1
HIP 60845,HIP 60845 A,G (White-Yellow) Star,G3
Col 285 Sector IR-V d2-68,Col 285 Sector IR-V d2-68 A,F (White) Star,F6
Wangmin,Wangmin,M (Red dwarf) Star,M1
chi-1 Hydrae,chi-1 Hydrae,F (White) Star,F3
Zarece,Zarece A,F (White) Star,F3
Kutjang,Kutjang,K (Yellow-Orange) Star,K0
Manisi,Manisi A,G (White-Yellow) Star,G2
NLTT 56881,NLTT 56881 A,G (White-Yellow) Star,G0
Pai Shihil,Pai Shihil A,M (Red dwarf) Star,M0
Col 285 Sector VZ-P d5-69,Col 285 Sector VZ-P d5-69 A,G (White-Yellow) Star,G7
Ix,Ix,F (White) Star,F5
Kamandu,Kamandu A,G (White-Yellow) Star,G6
Blango,Blango,F (White) Star,F9
Kipgensi,Kipgensi,G (White-Yellow) Star,G9
HIP 13773,HIP 13773 A,G (White-Yellow) Star,G3
HIP 113386,HIP 113386,G (White-Yellow) Star,G3
HIP 10175,HIP 10175 A,G (White-Yellow) Star,G3
ADS 16553,ADS 16553 A,G (White-Yellow) Star,G0
HIP 99966,HIP 99966 A,G (White-Yellow) Star,G5
HIP 95457,HIP 95457 A,F (White) Star,F6
Rho Cancri,Rho Cancri,K (Yellow-Orange giant) Star,K0
110 Herculis,110 Herculis,F (White) Star,F5
Kormt,Kormt,G (White-Yellow) Star,G3
Jamurt,Jamurt,G (White-Yellow) Star,G8
Raltekh,Raltekh,G (White-Yellow) Star,G5
Aditjargl,Aditjargl A,F (White) Star,F6
Hyades Sector IR-W d1-69,Hyades Sector IR-W d1-69 A,F (White) Star,F7
Reiensei,Reiensei,F (White) Star,F5
HIP 14527,HIP 14527 A,F (White) Star,F8
HIP 108344,HIP 108344 A,F (White) Star,F8
HR 3072,HR 3072,F (White) Star,F5
Eta Corvi,Eta Corvi A,F (White) Star,F2
HIP 72235,HIP 72235 A,G (White-Yellow) Star,G5
Pelin,Pelin A,G (White-Yellow) Star,G8
Audhuma,Audhuma,F (White) Star,F7
Col 285 Sector NI-S d4-69,Col 285 Sector NI-S d4-69 A,G (White-Yellow) Star,G3
HIP 18839,HIP 18839,F (White) Star,F8
Col 285 Sector EB-O d6-69,Col 285 Sector EB-O d6-69 A,F (White) Star,F9
49 G. Antlia,49 G. Antlia,G (White-Yellow) Star,G0
Malparci,Malparci A,F (White) Star,F4
Col 285 Sector TO-R d4-70,Col 285 Sector TO-R d4-70 A,G (White-Yellow) Star,G4
Nemeno,Nemeno A,G (White-Yellow) Star,G1
HR 8474,HR 8474,F (White) Star,F2
Ngaislan,Ngaislan,F (White) Star,F7
HIP 98879,HIP 98879,G (White-Yellow) Star,G0
Col 285 Sector XK-O d6-70,Col 285 Sector XK-O d6-70 A,F (White) Star,F9
Artii,Artii A,K (Yellow-Orange) Star,K0
Col 285 Sector ND-S d4-70,Col 285 Sector ND-S d4-70,F (White) Star,F6
NN 3062,NN 3062 A,A (Blue-White) Star,A3
Oglan,Oglan A,T Tauri Star,TTS1
95 Tauri,95 Tauri A,F (White) Star,F7
Kholul,Kholul,K (Yellow-Orange) Star,K7
Tago,Tago A,F (White) Star,F4
Col 285 Sector TD-T d3-70,Col 285 Sector TD-T d3-70,F (White) Star,F7
Yen Ku,Yen Ku,F (White) Star,F3
Gaunetet,Gaunetet,G (White-Yellow) Star,G4
Aquixing,Aquixing,F (White) Star,F4
Nysa,Nysa A,G (White-Yellow) Star,G6
HIP 108288,HIP 108288,G (White-Yellow) Star,G0
Kanaloa,Kanaloa A,F (White) Star,F5
HIP 100405,HIP 100405 A,G (White-Yellow) Star,G5
HIP 39325,HIP 39325,G (White-Yellow) Star,G5
DON 680,DON 680 A,K (Yellow-Orange) Star,K1
Col 285 Sector HR-V d2-70,Col 285 Sector HR-V d2-70 A,F (White) Star,F6
Isinor,Isinor,G (White-Yellow) Star,G7
Col 285 Sector JC-U d3-70,Col 285 Sector JC-U d3-70 A,F (White) Star,F6
Jandini,Jandini A,F (White) Star,F8
Uibuth,Uibuth A,F (White) Star,F8
HIP 18958,HIP 18958,G (White-Yellow) Star,G5
CN Hydrus,CN Hydrus B,F (White) Star,F6
Cubeo,Cubeo,F (White) Star,F7
HIP 78505,HIP 78505,G (White-Yellow) Star,G3
Col 285 Sector OS-T d3-70,Col 285 Sector OS-T d3-70,M (Red dwarf) Star,M4
Gliese 384,Gliese 384,G (White-Yellow) Star,G8
Gliese 2084,Gliese 2084,K (Yellow-Orange) Star,K5
Wurun,Wurun,F (White) Star,F9
Pegasi Sector BQ-Y d71,Pegasi Sector BQ-Y d71 A,G (White-Yellow) Star,G9
Cibandana,Cibandana,F (White) Star,F4
Unkto,Unkto,G (White-Yellow) Star,G0
HR 8472,HR 8472 A,F (White) Star,F8
Cephei Sector FG-Y d71,Cephei Sector FG-Y d71 A,K (Yellow-Orange) Star,K7
17 Theta Sagittae,17 Theta Sagittae A,F (White) Star,F3
Milelbis,Milelbis,F (White) Star,F7
Wuli,Wuli A,T Tauri Star,TTS1
Samon,Samon,F (White) Star,F9
Abe,Abe,K (Yellow-Orange) Star,K3
HIP 10510,HIP 10510,G (White-Yellow) Star,G8
Frog,Frog,G (White-Yellow) Star,G2
Sigma-2 Ursae Majoris,Sigma-2 Ursae Majoris,F (White) Star,F7
Gamma Coronae Austrinae,Gamma Coronae Austrinae,F (White) Star,F8
Aakuagsakh,Aakuagsakh A,F (White) Star,F0
Ciguri,Ciguri,F (White) Star,F1
Capai,Capai A,F (White) Star,F4
Nahua,Nahua,G (White-Yellow) Star,G2
Bok,Bok,G (White-Yellow) Star,G5
BD+12 1759,BD+12 1759 A,K (Yellow-Orange) Star,K0
8 Alpha-1 Libra,8 Alpha-1 Libra,F (White) Star,F4
Katobriges,Katobriges,M (Red dwarf) Star,M2
Col 285 Sector JC-U d3-71,Col 285 Sector JC-U d3-71,G (White-Yellow) Star,G4
Wikini,Wikini,F (White) Star,F8
Vettorasare,Vettorasare,G (White-Yellow) Star,G9
Tucanae Sector AF-A d71,Tucanae Sector AF-A d71,F (White) Star,F6
HIP 19052,HIP 19052 A,G (White-Yellow) Star,G2
HIP 14307,HIP 14307,F (White) Star,F8
HIP 30733,HIP 30733,K (Yellow-Orange) Star,K0
Hirapa,Hirapa,F (White) Star,F3
HIP 79682,HIP 79682 A,G (White-Yellow) Star,G3
CD-51 4783,CD-51 4783,K (Yellow-Orange) Star,K0
Pegasi Sector BQ-Y d72,Pegasi Sector BQ-Y d72,F (White) Star,F9
Antanasata,Antanasata,F (White) Star,F2
Pegasi Sector DB-X d1-72,Pegasi Sector DB-X d1-72 A,F (White) Star,F2
Artha,Artha,F (White) Star,F6
Pegasi Sector IR-W d1-72,Pegasi Sector IR-W d1-72 A,F (White) Star,F4
Capricorni Sector EG-Y d72,Capricorni Sector EG-Y d72 A,F (White) Star,F8
Vigr,Vigr A,G (White-Yellow) Star,G5
HIP 117029,HIP 117029,G (White-Yellow) Star,G0
Li Quang,Li Quang,K (Yellow-Orange) Star,K4
Ipilars,Ipilars,F (White) Star,F6
Bhaimyr,Bhaimyr A,A (Blue-White) Star,A9
Chamonjurui,Chamonjurui,F (White) Star,F7
Uelliano,Uelliano A,G (White-Yellow) Star,G0
Lactona,Lactona A,F (White) Star,F5
Baliscii,Baliscii,G (White-Yellow) Star,G9
16 c Ursae Majoris,16 c Ursae Majoris,G (White-Yellow) Star,G0
LHS 3384,LHS 3384,White Dwarf (DA) Star,null
LHS 3384,Swoiwns LI-R d5-30 A,A (Blue-White) Star,A9
Svarindbh,Svarindbh,K (Yellow-Orange) Star,K0
Apaline,Apaline A,G (White-Yellow) Star,G4
Olwain,Olwain,F (White) Star,F8
Khamataman,Khamataman,A (Blue-White) Star,A8
Porasina,Porasina,G (White-Yellow) Star,G5
Itzamnet,Itzamnet,F (White) Star,F8
CPD-60 604,CPD-60 604 A,G (White-Yellow) Star,G1
HIP 101806,HIP 101806,G (White-Yellow) Star,G3
Djambojai,Djambojai A,F (White) Star,F3
Rho Puppis,Rho Puppis,F (White super giant) Star,F5
Marigo,Marigo A,K (Yellow-Orange) Star,K0
Col 285 Sector JC-U d3-72,Col 285 Sector JC-U d3-72 A,F (White) Star,F1
Seliu Benas,Seliu Benas A,F (White) Star,F3
Jokudiri,Jokudiri A,K (Yellow-Orange) Star,K0
Karunti,Karunti A,F (White) Star,F6
HIP 16523,HIP 16523 A,F (White) Star,F6
Sorbacoc,Sorbacoc,G (White-Yellow) Star,G2
HIP 31509,HIP 31509 A,F (White) Star,F6
Bosanolu,Bosanolu A,T Tauri Star,TTS4
HIP 82032,HIP 82032,F (White) Star,F8
Lepchazi,Lepchazi,G (White-Yellow) Star,G5
Mu Velorum,Mu Velorum A,G (White-Yellow) Star,G6
HIP 55714,HIP 55714,G (White-Yellow) Star,G5
Parnuteni,Parnuteni,G (White-Yellow) Star,G1
Tekenks,Tekenks,F (White) Star,F8
BD+32 4747,BD+32 4747,F (White) Star,F8
Nervi,Nervi,G (White-Yellow) Star,G2
HIP 100970,HIP 100970,G (White-Yellow) Star,G1
Wenda,Wenda,A (Blue-White) Star,A9
Wondjina,Wondjina A,G (White-Yellow) Star,G3
Kamchaggama,Kamchaggama,F (White) Star,F9
Berentin,Berentin A,F (White) Star,F7
Apsarillici,Apsarillici,M (Red dwarf) Star,M0
241 G. Aquarii,241 G. Aquarii,F (White) Star,F8
HIP 100449,HIP 100449,G (White-Yellow) Star,G8
20 Leonis Minoris,20 Leonis Minoris A,G (White-Yellow) Star,G4
31 Aquilae,31 Aquilae A,G (White-Yellow) Star,G7
LTT 7421,LTT 7421 A,White Dwarf (DA) Star,null
Col 285 Sector YK-O d6-73,Col 285 Sector YK-O d6-73 A,G (White-Yellow) Star,G5
Li Chen Yun,Li Chen Yun,K (Yellow-Orange) Star,K9
Uayehi,Uayehi A,M (Red dwarf) Star,M3
Tepehuacoc,Tepehuacoc,G (White-Yellow) Star,G2
Caduvun,Caduvun,F (White) Star,F8
Goibniu,Goibniu,G (White-Yellow) Star,G6
HIP 110102,HIP 110102,G (White-Yellow) Star,G3
Byllichua,Byllichua A,G (White-Yellow) Star,G5
Tiraocha,Tiraocha,K (Yellow-Orange) Star,K6
Mu-2 Octantis,Mu-2 Octantis,G (White-Yellow) Star,G0
18 Puppis,18 Puppis,F (White) Star,F6
HIP 83874,HIP 83874,G (White-Yellow) Star,G5
Fedmich,Fedmich,K (Yellow-Orange) Star,K2
Shapsugs,Shapsugs,F (White) Star,F8
HIP 19331,HIP 19331 A,F (White) Star,F3
Tucanae Sector CQ-Y d73,Tucanae Sector CQ-Y d73,F (White) Star,F6
HIP 31547,HIP 31547,G (White-Yellow) Star,G1
Ulledones,Ulledones,F (White) Star,F9
Hotai,Hotai A,G (White-Yellow) Star,G9
HR 4547,HR 4547 A,F (White) Star,F3
HIP 67438,HIP 67438,F (White) Star,F3
Rohini,Rohini A,G (White-Yellow) Star,G3
Wu Chelki,Wu Chelki A,G (White-Yellow) Star,G0
Eototari,Eototari A,M (Red dwarf) Star,M0
"Sali'naman","Sali'naman A",F (White) Star,F1
Uhlanqui,Uhlanqui A,K (Yellow-Orange) Star,K2
Witsanukam,Witsanukam A,F (White) Star,F7
Promes,Promes,F (White) Star,F2
Ceti Sector ZE-A d74,Ceti Sector ZE-A d74 A,K (Yellow-Orange) Star,K0
Balapiru,Balapiru,K (Yellow-Orange) Star,K0
Lalande 4268,Lalande 4268 A,G (White-Yellow) Star,G1
16 Piscium,16 Piscium A,F (White) Star,F6
HIP 103311,HIP 103311 A,F (White) Star,F7
Cavane,Cavane A,M (Red dwarf) Star,M3
Gurabru,Gurabru,G (White-Yellow) Star,G3
Circios,Circios,G (White-Yellow) Star,G6
Liaedin,Liaedin,F (White) Star,F1
Ualapalor,Ualapalor,G (White-Yellow) Star,G3
Ratri,Ratri,F (White) Star,F9
Lagunnosso,Lagunnosso,G (White-Yellow) Star,G2
HIP 83716,HIP 83716 A,G (White-Yellow) Star,G5
Lahasim,Lahasim A,M (Red dwarf) Star,M5
Kurine,Kurine,M (Red dwarf) Star,M3
Vaiunia,Vaiunia,F (White) Star,F5
Lulus,Lulus,F (White) Star,F5
Tolmadh,Tolmadh,K (Yellow-Orange) Star,K8
LHS 1110,LHS 1110 A,G (White-Yellow) Star,G8
HIP 110147,HIP 110147 A,G (White-Yellow) Star,G8
Haokipi,Haokipi A,F (White) Star,F3
HR 8061,HR 8061,F (White) Star,F9
HIP 103260,HIP 103260 A,G (White-Yellow) Star,G8
Kamuy,Gliese 599 B,White Dwarf (DA) Star,null
Col 285 Sector LX-T d3-74,Col 285 Sector LX-T d3-74 A,G (White-Yellow) Star,G2
HR 5183,HR 5183 A,G (White-Yellow) Star,G0
Chemaluk,Chemaluk,G (White-Yellow) Star,G2
Kutkinungs,Kutkinungs A,G (White-Yellow) Star,G2
Maker,Maker A,G (White-Yellow) Star,G5
HIP 19684,HIP 19684,F (White) Star,F7
Krinayaka,Krinayaka,F (White) Star,F9
"Dewi'xilaga","Dewi'xilaga A",F (White) Star,F8
Tengye,Tengye,F (White) Star,F0
HIP 67918,HIP 67918 A,F (White) Star,F5
Aeducini,Aeducini,F (White) Star,F8
Bleia Dryiae HK-Y c17-9,Bleia Dryiae HK-Y c17-9,K (Yellow-Orange) Star,K7
Pegasi Sector NN-T c3-9,Pegasi Sector NN-T c3-9,K (Yellow-Orange) Star,K0
Col 285 Sector FS-J c9-9,Col 285 Sector FS-J c9-9,K (Yellow-Orange) Star,K2
Nyikoku,Nyikoku,T Tauri Star,TTS3
Azalai,Azalai,K (Yellow-Orange) Star,K6
Ngundjedes,Ngundjedes,K (Yellow-Orange) Star,K6
Tapiyan,Tapiyan A,G (White-Yellow) Star,G9
HIP 107314,HIP 107314,K (Yellow-Orange) Star,K0
Col 285 Sector UZ-O c6-9,Col 285 Sector UZ-O c6-9 A,K (Yellow-Orange) Star,K8
Selkupath,Selkupath,K (Yellow-Orange) Star,K7
Birrayak,Birrayak A,K (Yellow-Orange) Star,K6
Kathaima,Kathaima,K (Yellow-Orange) Star,K7
Jaoi,Jaoi,K (Yellow-Orange) Star,K4
Tsetan,Tsetan,K (Yellow-Orange) Star,K9
Kondovii,Kondovii,M (Red dwarf) Star,M0
Badjarsh,Badjarsh,M (Red dwarf) Star,M2
Bhumato,Bhumato A,K (Yellow-Orange) Star,K4
Onduwatya,Onduwatya,K (Yellow-Orange) Star,K7
Pokomovoi,Pokomovoi,K (Yellow-Orange) Star,K3
HIP 83995,HIP 83995 A,K (Yellow-Orange) Star,K7
Chatkwa,Chatkwa A,K (Yellow-Orange) Star,K4
Olurorai,Olurorai A,K (Yellow-Orange) Star,K8
Xuang,Xuang A,G (White-Yellow) Star,G9
Bishamuni,Bishamuni,K (Yellow-Orange) Star,K0
Capricorni Sector HR-W c1-9,Capricorni Sector HR-W c1-9 A,K (Yellow-Orange) Star,K0
Njanito,Njanito,K (Yellow-Orange) Star,K7
Toroesing,Toroesing,K (Yellow-Orange) Star,K3
Wolf 1003,Wolf 1003 A,M (Red dwarf) Star,M0
HIP 107020,HIP 107020,G (White-Yellow) Star,G6
Ghekree,Ghekree,K (Yellow-Orange) Star,K1
Col 285 Sector XA-E c12-9,Col 285 Sector XA-E c12-9 A,K (Yellow-Orange) Star,K5
Ngalia,Ngalia,K (Yellow-Orange) Star,K9
Amphiloci,Amphiloci A,K (Yellow-Orange) Star,K9
NLTT 57216,NLTT 57216 A,G (White-Yellow) Star,G0
LHS 3931,LHS 3931,K (Yellow-Orange) Star,K1
OR Delphini,OR Delphini,K (Yellow-Orange giant) Star,K0
BD+10 4385,BD+10 4385 A,K (Yellow-Orange) Star,K6
HIP 97950,HIP 97950 A,K (Yellow-Orange) Star,K2
Cail,Cail A,K (Yellow-Orange) Star,K4
Svalinn,Svalinn,G (White-Yellow) Star,G5
Aphra,Aphra A,K (Yellow-Orange) Star,K2
Adepti,Adepti A,K (Yellow-Orange) Star,K3
LP Draconis,LP Draconis A,K (Yellow-Orange) Star,K0
Idununn,Idununn,G (White-Yellow) Star,G8
Luk Xing,Luk Xing A,G (White-Yellow) Star,G4
Benanekpeno,Benanekpeno A,K (Yellow-Orange) Star,K7
Wolf 631,Wolf 631,K (Yellow-Orange) Star,K3
Dao Guaras,Dao Guaras,K (Yellow-Orange) Star,K6
Lyncis Sector DB-X c1-9,Lyncis Sector DB-X c1-9 A,K (Yellow-Orange) Star,K8
Kausasto,Kausasto A,K (Yellow-Orange) Star,K4
Bangputys,Bangputys,K (Yellow-Orange) Star,K6
Hermid,Hermid A,K (Yellow-Orange) Star,K9
Col 285 Sector ZL-K c9-9,Col 285 Sector ZL-K c9-9 A,K (Yellow-Orange) Star,K1
Wereti,Wereti,K (Yellow-Orange) Star,K9
Julu,Julu A,K (Yellow-Orange) Star,K9
Sikkai,Sikkai A,K (Yellow-Orange) Star,K0
HIP 118146,HIP 118146,K (Yellow-Orange) Star,K1
HIP 116973,HIP 116973 A,K (Yellow-Orange) Star,K3
Njorth,Njorth,M (Red dwarf) Star,M2
Zurum,Zurum A,G (White-Yellow) Star,G8
Simarasir,Simarasir,K (Yellow-Orange) Star,K5
Meiri,Meiri,G (White-Yellow) Star,G8
Englar,Englar,K (Yellow-Orange) Star,K7
Yum Kaia,Yum Kaia,G (White-Yellow) Star,G8
Chayansi,Chayansi A,K (Yellow-Orange) Star,K2
Brata,Brata,K (Yellow-Orange) Star,K2
HIP 14532,HIP 14532 A,G (White-Yellow) Star,G0
Ross 376,Ross 376 A,K (Yellow-Orange) Star,K5
Lalande 4141,Lalande 4141,G (White-Yellow) Star,G5
Lalande 1799,Lalande 1799,K (Yellow-Orange) Star,K3
SRS 2543,SRS 2543,K (Yellow-Orange) Star,K2
LP 872-8,LP 872-8 A,K (Yellow-Orange) Star,K6
Kokopatun,Kokopatun A,T Tauri Star,TTS6
LFT 361,LFT 361 A,K (Yellow-Orange) Star,K2
BD+65 1846,BD+65 1846 A,K (Yellow-Orange) Star,K7
Anlave,Anlave,G (White-Yellow) Star,G9
Wolf 867,Wolf 867 A,K (Yellow-Orange) Star,K1
HIP 91187,HIP 91187,G (White-Yellow) Star,G5
Sankula,Sankula,K (Yellow-Orange) Star,K8
Balbus,Balbus A,G (White-Yellow) Star,G9
Eleu,KOI 1701,A (Blue-White) Star,A5
Eleu,Eleu A,G (White-Yellow) Star,G9
BD+69 530,BD+69 530,G (White-Yellow) Star,G6
LP 275-83,LP 275-83 A,K (Yellow-Orange) Star,K5
Manii,Manii,K (Yellow-Orange) Star,K1
Kanga Bara,Kanga Bara,G (White-Yellow) Star,G9
Yaming,Yaming A,M (Red dwarf) Star,M0
Konduwa,Konduwa,G (White-Yellow) Star,G9
Ross 514,Ross 514 A,K (Yellow-Orange) Star,K3
HIP 62816,HIP 62816,G (White-Yellow) Star,G0
Kamocadroa,Kamocadroa A,K (Yellow-Orange) Star,K8
Col 285 Sector ES-I c10-9,Col 285 Sector ES-I c10-9 A,K (Yellow-Orange) Star,K2
Shu Babassi,Shu Babassi,K (Yellow-Orange) Star,K8
Ngalinn,Ngalinn,G (White-Yellow) Star,G5
Arecoya,Arecoya,K (Yellow-Orange) Star,K7
Ulladan,Ulladan,K (Yellow-Orange) Star,K9
Bakalinnama,Bakalinnama,K (Yellow-Orange) Star,K0
Namba,Namba A,K (Yellow-Orange) Star,K5
Ngakwites,Ngakwites,G (White-Yellow) Star,G4
Jarojinanh,Jarojinanh,K (Yellow-Orange) Star,K6
Lei Cherna,Lei Cherna A,K (Yellow-Orange) Star,K0
HIP 116905,HIP 116905,K (Yellow-Orange) Star,K7
"Tiang K'an","Tiang K'an",T Tauri Star,TTS8
UGP 64,UGP 64,K (Yellow-Orange) Star,K3
BD-18 394,BD-18 394,K (Yellow-Orange) Star,K3
Tarach Tor,Tarach Tor,G (White-Yellow) Star,G9
LTT 9397,LTT 9397,K (Yellow-Orange) Star,K3
LTT 8852,LTT 8852 A,K (Yellow-Orange) Star,K2
HIP 101549,HIP 101549 A,K (Yellow-Orange) Star,K0
Lozin,Lozin A,K (Yellow-Orange) Star,K1
HIP 19912,HIP 19912,K (Yellow-Orange) Star,K7
LTT 1652,LTT 1652 A,K (Yellow-Orange) Star,K7
Gliese 868,Gliese 868,K (Yellow-Orange) Star,K4
Smethells 56,Smethells 56 A,K (Yellow-Orange) Star,K7
HIP 24133,HIP 24133,G (White-Yellow) Star,G5
Opila,Opila,K (Yellow-Orange) Star,K5
14 Geminorum,14 Geminorum A,K (Yellow-Orange giant) Star,K0
Montet,Montet,K (Yellow-Orange) Star,K7
Nkwalas,Nkwalas A,K (Yellow-Orange) Star,K8
LP 254-40,LP 254-40,K (Yellow-Orange) Star,K6
Brontes,Brontes,G (White-Yellow) Star,G0
Aganippe,Aganippe,K (Yellow-Orange) Star,K6
Watha,Watha,K (Yellow-Orange) Star,K6
Lyncis Sector DQ-Y c9,Lyncis Sector DQ-Y c9,K (Yellow-Orange) Star,K5
HIP 47110,HIP 47110,G (White-Yellow) Star,G5
Sheela Na Gig,Sheela Na Gig,K (Yellow-Orange) Star,K8
BD+11 2811,BD+11 2811 A,K (Yellow-Orange) Star,K5
Dulla,Dulla A,K (Yellow-Orange) Star,K5
Para Indra,Para Indra,K (Yellow-Orange) Star,K4
HIP 57346,HIP 57346,K (Yellow-Orange) Star,K4
HIP 62454,HIP 62454 A,K (Yellow-Orange) Star,K5
GY Bootis,GY Bootis A,K (Yellow-Orange) Star,K0
Khanci,Khanci,K (Yellow-Orange) Star,K7
Virudnir,Virudnir,K (Yellow-Orange) Star,K9
Olela,Olela,G (White-Yellow) Star,G9
HIP 61986,HIP 61986 A,K (Yellow-Orange) Star,K2
Sagi,Sagi A,K (Yellow-Orange) Star,K2
Moyot,Moyot,G (White-Yellow) Star,G7
Gundji,Gundji,K (Yellow-Orange) Star,K3
Belatus,Belatus,K (Yellow-Orange) Star,K8
Selisao Jiu,Selisao Jiu A,T Tauri Star,TTS8
Malapa,Malapa,K (Yellow-Orange) Star,K1
Inktehit,Inktehit A,M (Red dwarf) Star,M1
Ceraunii,Ceraunii A,K (Yellow-Orange) Star,K6
HIP 117895,HIP 117895,K (Yellow-Orange) Star,K0
Lokaangina,Lokaangina A,K (Yellow-Orange) Star,K8
Changbatzil,Changbatzil A,K (Yellow-Orange) Star,K7
Hyades Sector UO-R c4-9,Hyades Sector UO-R c4-9 A,K (Yellow-Orange) Star,K7
Kareco,Kareco,K (Yellow-Orange) Star,K3
Giltine,Giltine A,M (Red dwarf) Star,M0
HIP 114477,HIP 114477,K (Yellow-Orange) Star,K1
Kakau,Kakau,K (Yellow-Orange) Star,K8
Kaan,Kaan A,G (White-Yellow) Star,G8
Telin,Telin,K (Yellow-Orange) Star,K2
LTT 1798,LTT 1798,K (Yellow-Orange) Star,K5
Arexack,Arexack,K (Yellow-Orange) Star,K4
Fyrly,Fyrly A,K (Yellow-Orange) Star,K6
LTT 9028,LTT 9028 A,G (White-Yellow) Star,G6
Col 285 Sector AB-E c12-9,Col 285 Sector AB-E c12-9 A,K (Yellow-Orange) Star,K6
Hraean,Hraean,K (Yellow-Orange) Star,K9
Irusan,Irusan,K (Yellow-Orange) Star,K0
Capo,Capo A,G (White-Yellow) Star,G9
LTT 2240,LTT 2240,K (Yellow-Orange) Star,K3
LHS 1650,LHS 1650,K (Yellow-Orange) Star,K4
CD-61 6651,CD-61 6651 A,K (Yellow-Orange) Star,K5
"Deacon's Star","Deacon's Star A",K (Yellow-Orange) Star,K2
HIP 92342,HIP 92342,K (Yellow-Orange) Star,K0
Tolini,Tolini,K (Yellow-Orange) Star,K1
Ticua,Ticua A,K (Yellow-Orange) Star,K2
BD+05 1295,BD+05 1295,K (Yellow-Orange giant) Star,K1
NSV 3315,NSV 3315,K (Yellow-Orange) Star,K5
Izanagi,Izanagi A,K (Yellow-Orange) Star,K8
Mata,Mata,K (Yellow-Orange) Star,K5
LTT 6830,LTT 6830,K (Yellow-Orange) Star,K4
Bankoni,Bankoni,G (White-Yellow) Star,G7
Hyades Sector IC-U c3-9,Hyades Sector IC-U c3-9 A,K (Yellow-Orange) Star,K0
FK5 2550,FK5 2550 A,K (Yellow-Orange) Star,K1
LTT 2974,LTT 2974,K (Yellow-Orange) Star,K0
LDS 413,LDS 413,K (Yellow-Orange) Star,K3
BD+22 2271,BD+22 2271 A,K (Yellow-Orange) Star,K5
BD+19 2443,BD+19 2443,K (Yellow-Orange) Star,K0
Ross 467,Ross 467,K (Yellow-Orange) Star,K4
MV Virginis,MV Virginis,K (Yellow-Orange) Star,K5
HIP 76768,HIP 76768,K (Yellow-Orange) Star,K3
Orobriges,Orobriges,K (Yellow-Orange) Star,K0
